word	fpm	lemma_fpm	nchar	pos	bin	lfpm10r	nonce_word	incorrect_answers	correct_answers	correct_odds	correct_log_odds	residual	pred
burukkol	0.004084014002333722	0.021003500583430573	8	verb	11	-2.352	FALSE	27	10	0.3928571428571429	-0.9343092373768334	-2.291937293468561	1.357628056091727
bágyaszt	0.007701283547257876	0.019369894982497082	8	verb	14	-2.071	FALSE	5	32	5.5	1.7047480922384253	0.18346209029326924	1.5212860019451555
bárányfark	7.001166861143524e-4	0.0015169194865810968	10	noun	5	-3.092	FALSE	8	25	2.888888888888889	1.0608719606852626	0.03055979630039289	1.03031216438487
bélyeg	1.685997666277713	10.093465577596266	6	noun	34	0.274	FALSE	0	17	18	2.8903717578961645	0.2780327835948167	2.6123389743013457
bír	34.42730455075846	132.06942823803968	3	verb	45	1.595	FALSE	0	26	27	3.295836866004329	0.08341875690707592	3.212418109097251
bóbiskol	0.05542590431738623	0.34924154025670945	8	verb	21	-1.213	FALSE	1	32	16.5	2.803360380906535	0.9002058386367117	1.9031545422698224
bódé	0.6491248541423571	2.2269544924154028	4	noun	30	-0.138	FALSE	1	36	18.5	2.917770732084279	0.5236423522541696	2.394128379830108
búcsú	7.254259043173862	23.24982497082847	5	noun	38	0.823	FALSE	0	32	33	3.49650756146648	0.6659579926938941	2.830549568772584
bús	2.8039673278879813	4.546907817969662	3	adjective	35	0.421	FALSE	1	25	13	2.5649493574615367	-0.1019422654576207	2.6668916229191555
büntetéspénz	0.004784130688448075	0.026371061843640606	12	noun	12	-2.257	FALSE	2	29	10	2.302585092994046	0.8904043882845091	1.4121807047095367
bőkezű	1.1221703617269545	2.3816802800466745	6	adjective	32	0.086	FALSE	0	28	29	3.367295829986474	0.8640621529207455	2.503233677065727
bőr	65.66464410735122	188.5808634772462	3	noun	47	1.869	FALSE	0	26	27	3.295836866004329	-0.0256865403285432	3.3215234063328696
bőujjú	0.004900816802800466	0.005017502917152859	6	adjective	12	-2.257	FALSE	0	38	39	3.6635616461296463	2.251380941420109	1.4121807047095367
bűvkör	0.0057176196032672115	0.886581096849475	6	noun	13	-2.217	FALSE	3	25	6.5	1.8718021769015911	0.4050688235742448	1.466733353327346
camembert	0.48004667444574095	0.4995332555425904	9	noun	28	-0.353	FALSE	5	24	4.166666666666667	1.4271163556401458	-0.8579067269543444	2.285023082594489
cianid	0.1763127187864644	0.30478413068844806	6	noun	25	-0.711	FALSE	15	15	1	0	-2.1213651367410615	2.12136513674106
cikk	112.79871645274213	312.76161026837804	4	noun	49	2.096	FALSE	0	34	35	3.5553480614894135	0.1247193579209218	3.4306287035684884
cirkalmaz	8.168028004667445e-4	0.009918319719953326	9	verb	5	-3.092	FALSE	21	9	0.4545454545454546	-0.7884573603642702	-1.81876952474914	1.03031216438487
cirkusz	5.145040840140023	9.474212368728121	7	noun	37	0.637	FALSE	0	44	45	3.80666248977032	1.0306655696155431	2.7759969201547747
citrom	10.952508751458577	15.973512252042006	6	noun	41	1.081	FALSE	0	31	32	3.4657359027997265	0.4715283881737115	2.9942075146260123
cizellál	0.004200700116686115	0.19498249708284715	8	verb	12	-2.339	FALSE	10	26	2.4545454545454546	0.8979415932059586	-0.5142391115035785	1.4121807047095367
család	205.19684947491248	513.9882147024504	6	noun	50	2.364	FALSE	0	29	30	3.4011973816621555	-0.08398397052414583	3.4851813521862978
csapattest	0.04445740956826138	0.23628938156359394	10	noun	20	-1.301	FALSE	12	30	2.3846153846153846	0.8690378470236095	-0.979564046628404	1.8486018936520128
csapdáz	5.834305717619603e-4	0.038156359393232205	7	verb	4	-3.268	FALSE	5	28	4.833333333333333	1.575536360758419	0.5997768449913589	0.9757595157670604
csapáz	2.3337222870478414e-4	0.003267211201866978	6	verb	2	-3.569	FALSE	24	13	0.56	-0.579818495252942	-1.4464727137843831	0.8666542185314414
csattog	0.39509918319719955	1.2617269544924155	7	verb	28	-0.374	FALSE	0	33	34	3.5263605246161616	1.2413374420216714	2.285023082594489
csatázik	0.28156359393232205	1.5106184364060677	8	verb	27	-0.489	FALSE	1	33	17	2.833213344056216	0.6027429100795355	2.230470433976679
cselekmény	12.20583430571762	32.754842473745626	10	noun	41	1.145	FALSE	0	26	27	3.295836866004329	0.3016293513783141	2.9942075146260123
csend	19.207817969661612	47.48634772462077	5	noun	42	1.294	FALSE	0	33	34	3.5263605246161616	0.4776003613723371	3.0487601632438217
csengettyű	0.30898483080513417	0.6807467911318553	10	noun	26	-0.622	FALSE	1	29	15	2.70805020110221	0.532132415743339	2.1759177853588696
csobog	0.24900816802800466	0.47759626604434074	6	verb	27	-0.57	FALSE	0	27	28	3.332204510175204	1.1017340761985233	2.230470433976679
csomag	52.67934655775963	142.49544924154026	6	noun	46	1.762	FALSE	0	34	35	3.5553480614894135	0.2883773037743505	3.26697075771506
csontdarab	0.05915985997666278	0.17782963827304551	10	noun	22	-1.165	FALSE	2	32	11	2.3978952727983707	0.44018808191073794	1.957707190887632
csácsog	0.0019836639439906652	0.011435239206534423	7	verb	8	-2.791	FALSE	16	15	0.9411764705882352	-0.06062462181643485	-1.2545947320547337	1.1939701102382985
csöndesedik	0.007934655775962661	0.04772462077012835	11	verb	14	-2.057	FALSE	0	27	28	3.332204510175204	1.810918508230048	1.5212860019451555
csöpörög	0.012368728121353558	0.04235705950991832	8	verb	15	-1.897	FALSE	2	36	12.333333333333334	2.512305623976115	0.9364669734131492	1.5758386505629651
csüggedez	0.001633605600933489	0.01633605600933489	9	verb	8	-2.756	FALSE	5	26	4.5	1.5040773967762742	0.31010728653797565	1.1939701102382985
csüggeszt	0.01528588098016336	0.08133022170361727	9	verb	17	-1.753	FALSE	3	23	6	1.791759469228055	0.1068155214294702	1.684943947798584
csőszház	0.0338389731621937	0.058576429404900814	8	noun	19	-1.512	FALSE	5	34	5.833333333333333	1.7635885922613586	-0.03046065277284539	1.7940492450342032
cucc	9.794399066511085	32.92870478413069	4	noun	40	1.051	FALSE	1	31	16	2.772588722239781	-0.1670661437684242	2.939654866008203
cugehőr	0.0012835472578763127	0.002450408401400233	7	noun	7	-2.916	FALSE	29	5	0.2	-1.6094379124341005	-2.74885537405459	1.139417461620489
cukrász	2.5201866977829637	4.099766627771295	7	noun	35	0.377	FALSE	0	37	38	3.6375861597263857	0.9706945368072282	2.6668916229191555
cáfol	0.569661610268378	13.977829638273045	5	verb	30	-0.198	FALSE	0	31	32	3.4657359027997265	1.0716075229696171	2.394128379830108
